ArticleText,ArticleCategory
"From: xor@clotho.acm.rpi.edu (Joe Schwartz)
Subject: Re: NUTEK FACES APPLE'S WRATH (article!!!!!!) READ
Article-I.D.: rpi.j3g5bwq
Organization: MapInfo Corporation, Troy, NY
Lines: 28
Nntp-Posting-Host: acm.rpi.edu

In article <davea-120493231310@129.228.20.182> davea@xetron.com (David P. Alverson) writes:
>I believe Apple has a patent on the region features of QuickDraw.  A mac
>clone would have to implement regions.  This is why Apple's comment was
>that
>they believe it is not possible to make a Mac clone without infringing
>on their patents.  They may have other patents like this.

Apple has patented their implementation of regions, which presumably
includes the internal data structure (which has never been officially
documented by Apple).  Apple cannot patent the concept of a region.

I'm guessing that either NuTek reverse-engineered Apple's internal data
structure for regions (I dunno if this would hold up in court), or they
came up with their own data structure.  If it's the latter, then they
won't be able to draw PICT files containing regions.  Besides PICT files,
there aren't many places where regions are stored on disk.  (QuickTime
movies, perhaps?)  As long as the region isn't being stored on disk and
transferred from a Mac to a NuTek clone (or vice versa), it doesn't
matter if NuTek uses a completely different internal data structure.

I remember reading that Apple also has a patent on their ADB hardware,
and that the NuTek clones would therefore be lacking an ADB port.  What
other patents does Apple have on the Mac?
-- 
Joe Schwartz       E-mail: xor@acm.rpi.edu  or  xor@clotho.acm.rpi.edu
MapInfo Corp.
200 Broadway       These are my own opinions.  Any similarity to the
Troy, NY 12180     opinions of MapInfo Corporation is purely coincidental.
",hardware
"From: hmarvel@magnus.acs.ohio-state.edu (Howard P Marvel)
Subject: Re: your opinion of the LaserWriter Select 310?
Article-I.D.: magnus.1993Apr5.231721.1272
Organization: The Ohio State University
Lines: 12
Nntp-Posting-Host: bottom.magnus.acs.ohio-state.edu


My wife has one of these.  I have not had much chance to fiddle with
it, but in comparison to our Laserwriters with Canon engines, she
complains that the print is too light for her taste.  The difference
is quite apparent even when the print setting on the Select 310 is
adjusted to the darkest possible level.  I don't find it
objectionable, and indeed rather like it, but be warned that some
people don't care for it and it is considerably different. 

I recall that years ago there were lots of debates over write-black
vs. write-white engines when dealing with TeX drivers.  Is something
like that going on here?
",hardware
"From: narain@ih-nxt09.cso.uiuc.edu (Nizam Arain)
Subject: Floptical Question
Article-I.D.: news.C519MM.M2L
Reply-To: narain@uiuc.edu
Organization: University of Illinois at Urbana
Lines: 17

Hi. I am looking into buying a Floptical Drive, and was wondering what  
experience people have with the drives from Iomega, PLI, MASS MicroSystems,  
or Procom. These seem to be the main drives on the market. Any advice?

Also, I heard about some article in MacWorld (Sep '92, I think) about  
Flopticals. Could someone post a summary, if they have it?

Thanks in advance. (Reply by post or email, whichever you prefer.)

--Nizam

--

 /  *  \   Nizam Arain                           \ What makes the universe
||     ||  (217) 384-4671                        / so hard to comprehend 
| \___/ |  Internet: narain@uiuc.edu             \ is that there is nothing
 \_____/   NeXTmail: narain@sumter.cso.uiuc.edu  / to compare it with.
",hardware
"From: dfclark@snll-arpagw.llnl.gov (clark dean f)
Subject: Re: Centris Cache & Bernoulli Box
Article-I.D.: snll-arp.519
Distribution: world
Organization: Sandia National Laboratories
Lines: 27

In article <1993Apr2.123619.548@physc1.byu.edu> goblec@physc1.byu.edu writes:
>I just tried running my Bernoulli Box off a Centris and the driver
>software only seems to work when the 040 cache is off.  If it is
>on I get the message ""This is not a Macintosh Disk - do you wish
>to initialize it.""  
>
>I have IOMEGA Driver 3.4.2.  Is there a newer version that works
>with the 040's?  Is there something I am doing wrong?
>
>Clark Goble
>goblec@theory.byu.edu

I Have Version 3.5.1 which I believe was needed for a 040 machine.
You should be able to get the newest version by calling their tech
support at 1-800-456-5522 or if you have a modem you can get the
driver from their BBS at 801-778-4400.



dean



-- 

Dean Clark
Internet dfclark@ca.sandia.gov
",hardware
"From: glang@slee01.srl.ford.com (Gordon Lang)
Subject: Please help find video hardware
Article-I.D.: fmsrl7.1pqf9oINN88e
Organization: Ford Motor Company Research Laboratory
Lines: 19
NNTP-Posting-Host: slee01.srl.ford.com
X-Newsreader: Tin 1.1 PL5

[ Article crossposted from comp.sys.hp ]
[ Author was Gordon Lang ]
[ Posted on 5 Apr 1993 23:25:27 GMT ]

[ Article crossposted from comp.sys.ibm.pc.hardware ]
[ Author was Gordon Lang ]
[ Posted on 5 Apr 1993 23:19:01 GMT ]

I need a device (either an ISA board or a subsystem) which will
take two RGB video signals and combine them according to a template.
The template can be as simple as a rectangular window with signal
one being used for the interior and signal two for the exterior.
But I beleive fancier harware may also exist which I do not want
to exclude from my search.  I know this sort of hardware exists
for NTSC, etc. but I need it for RGB.

Please email and or post any leads....

Gordon Lang (glang@smail.srl.ford.com  -or-  glang@holo6.srl.ford.com)
",hardware
"From: winstead@faraday.ece.cmu.edu (Charles Holden Winstead)
Subject: ftp site for Radius software???
Organization: Electrical and Computer Engineering, Carnegie Mellon

Hey All,

Does anyone know if I can ftp to get the newest version of Radiusware
and soft pivot from Radius?  I bought a pivot monitor, but it has an
old version of this software and won't work on my C650, and Radius said
it would be 4-5 weeks until delivery.

Thanks!

-Chuck


",hardware
"From: jcav@ellis.uchicago.edu (JohnC)
Subject: your opinion of the LaserWriter Select 310?
Reply-To: jcav@midway.uchicago.edu
Organization: The Royal Society for Putting Things on Top of Other Things
Lines: 10

This model is one of the two low-cost laser printers that Apple just
introduced.  I'm thinking of getting one to use at home.  Have any of you
had any experience with this printer?   Does it have Level-2 PostScript?
If you've bought one, are you happy with it?

-- 
John Cavallino                  |  EMail: jcav@midway.uchicago.edu
University of Chicago Hospitals |         John_Cavallino@uchfm.bsd.uchicago.edu
Office of Facilities Management | USMail: 5841 S. Maryland Ave, MC 0953
B0 f++ w c+ g++ k+ s++ e h- p   |         Chicago, IL  60637
",hardware
"From: jcav@ellis.uchicago.edu (JohnC)
Subject: how do you like the Apple Color OneScanner?
Reply-To: jcav@midway.uchicago.edu
Organization: The Royal Society for Putting Things on Top of Other Things
Lines: 13

We're all set to buy one of these for the office, to use for scanning in
color photographs and for optical character recognition.  We've played with
the original grayscale OneScanner and were very pleased.  Is the color model
comparable in quality?

Also, what brand of OCR software would you recommend?  We're leaning toward
Caere OmniPage.  Any better ideas?  Thanks.

-- 
John Cavallino                  |  EMail: jcav@midway.uchicago.edu
University of Chicago Hospitals |         John_Cavallino@uchfm.bsd.uchicago.edu
Office of Facilities Management | USMail: 5841 S. Maryland Ave, MC 0953
B0 f++ w c+ g++ k+ s++ e h- p   |         Chicago, IL  60637
",hardware
"From: PKR@SLACVM.SLAC.STANFORD.EDU (Patrick Krejcik)
Subject: File Server Mac
Article-I.D.: pkrmac.PKR-050493101102
Organization: SLAC
Lines: 3

I saw once an article about a new line of Macs configured to	
work more optimally as file servers. 	
Anyone know any more details?
",hardware
"From: ronaldw@sco.COM (Ronald A. Wong)
Subject: Re: Powerbook & Duo Batteries
Article-I.D.: ringo.ronaldw-050493173709
Distribution: na
Organization: SCO Developer Relations
Lines: 32

In article <C4vr7z.EB0@usenet.ucs.indiana.edu>,
kssimon@silver.ucs.indiana.edu (kenneth steven simon) wrote:
> 
>  hades@coos.dartmouth.edu (Brian V. Hughes) writes:
> 
>       >To my knowledge there is no way to fully discharge a Duo battery.
> 
> The program PowerStrip2.0, which is freeware, has an option called
> ""Quick Discharge.""  You can find it on the Mac archives, probably
> sumex-aim.stanford.edu or mac.archive.umich.edu.
> 
> Good luck!
> 
> 
> 
> -- 
> ----------------------------------------------------------------
> Kenneth Simon                            Department of Sociology
> KSSIMON@INDIANA.EDU                         Indiana University 
> ----------------------------------------------------------------


Is it a hidden option?  I'm using PowerStrip 2.0 (by Mr. Caputo) right now
and can't find any quick discharge option.  It definitely is on
mac.archive.umich.edu 'cause I submitted it! 

______________________________________________________________________
Ron Wong                  The Santa Cruz Operation          408-427-7128
Net & Comm Segment Mgr/   400 Encinal Street, PO Box 1900  FAX: 425-3544
DevProgram Marketing Mgr  Santa Cruz, CA  95061-1900
E-mail:   ...uunet!sco!ronaldw      ronaldw@sco.COM
______________________________________________________________________
",hardware
